作者,完成任务数,完成率,完成的任务,平均内容长度,平均分,总分,打卡次数,排名,最低分,最高分
hid_pzz4s26z6gn5x_b,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",685.0,90.83,1090,12,1,88,92
igoinghome,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",996.0,90.08,1081,12,2,85,95
hid_cplfok193,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",939.0,90.0,1080,12,3,85,95
华为 小y,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",728.0,88.67,1064,12,4,85,92
zmy,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",921.0,88.25,1059,12,5,85,92
hid_ycasd05s3uu8_nh,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",866.0,88.08,1057,12,6,85,92
yd_246301368,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",364.0,87.92,1055,12,7,85,92
胡宇飞,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",837.0,87.75,1053,12,8,85,90
hid_f6mi3edhbi9ggpg,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",693.0,87.38,1136,13,9,85,95
hid_w1sdefyi-bf-iw9,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",356.0,87.08,1045,12,10,85,92
wangshuang188,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",366.0,86.83,1042,12,11,85,92
Votu,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",916.0,86.77,1128,13,12,85,92
hid_hk148bbb2xfbysq,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",435.0,86.67,1040,12,13,85,92
ly15141570587,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",359.0,86.58,1039,12,14,85,90
hid_ze-d09-lkla9uyg,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",434.0,86.42,1037,12,15,85,92
ws1835819793,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",340.0,86.25,1035,12,16,85,90
hid_76e-_hn_jw9b545,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",381.0,86.08,1033,12,17,85,90
chen00,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",807.0,86.0,1032,12,18,85,92
hid_t2fteufjmzbwy2c,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",358.0,85.92,1031,12,19,85,90
cat_mi,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",365.0,85.67,1028,12,20,85,90
Klaus,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",335.0,85.58,1027,12,21,85,92
Sparkman,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",393.0,85.58,1027,12,22,70,95
huqi,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",1000.0,85.58,1027,12,23,85,92
songxwmt,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",375.0,85.5,1026,12,24,85,88
jinkongtangdan,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",346.0,85.42,1025,12,25,85,90
lizhengqiuhw,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",363.0,85.42,1025,12,26,85,90
执子之手527,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",714.0,85.25,1023,12,27,85,88
hid_q_m8szot7qw0c_b,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",324.0,85.0,1020,12,28,85,85
hid_o-zd84w1mvi5y5i,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",301.0,85.0,1020,12,29,85,85
mingtt0988,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",336.0,84.83,1018,12,30,75,90
DeepSeek-R1,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",829.0,84.58,1015,12,31,75,90
haienli,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",321.0,84.58,1015,12,32,75,90
guozixiang189,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",292.0,84.42,1013,12,33,75,88
boxw987,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",393.0,84.17,1010,12,34,75,85
litaowan,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",313.0,83.75,1005,12,35,70,85
bighead,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",523.0,83.75,1005,12,36,75,90
zgx1636964790,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",284.0,83.33,1000,12,37,75,85
ddjdzxgzx,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",348.0,83.17,998,12,38,70,90
广东小6,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",511.0,82.5,990,12,39,75,85
hid_g_84i1d6f9wqbpa,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",246.0,77.5,930,12,40,65,85
ivan sun,11,91.7%,"DAY1, DAY2, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",601.0,88.36,972,11,41,85,92
hid_-bid7h4m4pj3eue,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",678.0,87.73,965,11,42,85,92
hid_kxe9ed31f453kf9,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY9, DAY10, DAY11, DAY12",416.0,87.55,963,11,43,85,92
ringinginside,11,91.7%,"DAY1, DAY2, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",310.0,87.5,1050,12,44,85,92
夏余雨,11,91.7%,"DAY1, DAY2, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",601.0,87.09,958,11,45,85,90
橙子z,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",739.0,85.91,945,11,46,85,90
hid_ynnd9xo-ogcu8ij,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11",294.0,85.73,943,11,47,85,90
include_x,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11",632.0,85.45,940,11,48,85,90
奶明,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY9, DAY10, DAY11, DAY12",396.0,85.45,940,11,49,85,90
hid_l7kw4d0vlfoo8fa,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY10, DAY11, DAY12",322.0,85.0,935,11,50,85,85
ziyuwei,11,91.7%,"DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",371.0,85.0,935,11,51,85,85
yd_266845316,11,91.7%,"DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",609.0,85.0,935,11,52,85,85
Lauare,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11",496.0,85.0,935,11,53,75,90
lujianan,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY10, DAY11, DAY12",295.0,84.36,928,11,54,75,88
飞𓅃翔理𓁠想,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY12",273.0,82.27,905,11,55,75,85
qwe8403000,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",691.0,80.45,885,11,56,65,85
hwid_ar3dcl1s0bn2lu0,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY8, DAY9, DAY10, DAY11, DAY12",265.0,80.18,882,11,57,65,95
c尘落l,11,91.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11",282.0,69.55,765,11,58,45,85
babylon3000,10,83.3%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY7, DAY9, DAY10, DAY11, DAY12",517.0,88.7,887,10,59,85,95
一条刚学ai的林鲮鱼,10,83.3%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10",780.0,88.0,880,10,60,75,95
hid_kt0hjis8-zlvwci,10,83.3%,"DAY1, DAY2, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11",277.0,84.8,848,10,61,75,90
toolsmanhehe,10,83.3%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY8, DAY10, DAY11, DAY12",758.0,84.7,847,10,62,75,92
yd_243218525,10,83.3%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11",503.0,83.3,833,10,63,75,88
飞询,10,83.3%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY9, DAY10, DAY11, DAY12",235.0,83.3,833,10,64,75,88
艾尼江,10,83.3%,"DAY1, DAY3, DAY4, DAY5, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",463.0,83.18,915,11,65,75,85
jerrylongwl,10,83.3%,"DAY1, DAY2, DAY3, DAY5, DAY6, DAY7, DAY8, DAY10, DAY11, DAY12",270.0,77.2,772,10,66,65,95
ac99889988,9,75.0%,"DAY1, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY12",601.0,89.56,806,9,67,88,92
hid_y_yfd6y6jbj6pjh,9,75.0%,"DAY1, DAY2, DAY3, DAY4, DAY7, DAY8, DAY9, DAY11, DAY12",383.0,85.2,852,10,68,75,92
shuxuety,9,75.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY10",331.0,85.0,765,9,69,85,85
hid_l4_c8qjgqjoanhn,9,75.0%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY9, DAY10, DAY11",242.0,77.5,775,10,70,65,90
hid_tjk7uw7o8177mj5,8,66.7%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY10",540.0,87.62,701,8,71,75,95
xueguhanyu,8,66.7%,"DAY1, DAY2, DAY3, DAY4, DAY7, DAY9, DAY10, DAY11",284.0,85.0,680,8,72,85,85
tong17x,8,66.7%,"DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY11, DAY12",419.0,85.0,680,8,73,85,85
gcy429741,8,66.7%,"DAY1, DAY2, DAY4, DAY5, DAY6, DAY9, DAY10, DAY11",220.0,76.88,615,8,74,65,90
学鲲鹏知昇,8,66.7%,"DAY1, DAY2, DAY3, DAY4, DAY6, DAY7, DAY9, DAY10",185.0,73.12,585,8,75,65,75
hid_snwqrczw6ucj1qj,7,58.3%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7",795.0,88.29,618,7,76,85,92
惘纬,7,58.3%,"DAY1, DAY2, DAY3, DAY5, DAY6, DAY7, DAY10",259.0,80.71,565,7,77,75,85
花田鼠,6,50.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6",684.0,93.67,562,6,78,90,95
anny,6,50.0%,"DAY2, DAY3, DAY4, DAY5, DAY8, DAY12",591.0,87.33,524,6,79,85,92
蓝逸沸点,6,50.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6",113.0,78.33,470,6,80,75,85
一路走来,5,41.7%,"DAY1, DAY2, DAY3, DAY4, DAY5",643.0,85.6,428,5,81,85,88
yd_265810993,5,41.7%,"DAY2, DAY4, DAY6, DAY7, DAY10",504.0,85.0,425,5,82,75,90
yd_260812907,5,41.7%,"DAY1, DAY2, DAY3, DAY4, DAY5",400.0,81.6,408,5,83,75,88
chnhuaqiushi,5,41.7%,"DAY1, DAY2, DAY3, DAY4, DAY5",583.0,81.0,405,5,84,75,85
yufu,5,41.7%,"DAY3, DAY4, DAY6, DAY9, DAY11",92.0,78.0,390,5,85,70,85
北憬玲,4,33.3%,"DAY1, DAY2, DAY3, DAY4",1000.0,89.0,445,5,86,85,92
四夕,4,33.3%,"DAY1, DAY2, DAY3, DAY4",851.0,85.0,340,4,87,85,85
梁圣超,4,33.3%,"DAY1, DAY2, DAY4, DAY5",696.0,81.25,325,4,88,70,85
hid_-86iju_newwcm_6,4,33.3%,"DAY1, DAY2, DAY3, DAY4",193.0,77.5,310,4,89,65,85
hid_wygi90fw5bebyvt,3,25.0%,"DAY1, DAY2, DAY3",412.0,89.0,267,3,90,85,92
一个两个,3,25.0%,"DAY1, DAY2, DAY3",161.0,86.67,260,3,91,85,90
hid_tpxbvtbnkqx1oei,3,25.0%,"DAY1, DAY2, DAY3",1000.0,86.67,260,3,92,85,90
风殇,3,25.0%,"DAY2, DAY3, DAY4",370.0,86.0,258,3,93,85,88
yd_223209637,3,25.0%,"DAY1, DAY2, DAY3",370.0,85.0,255,3,94,85,85
yd_240554433,3,25.0%,"DAY1, DAY2, DAY8",1000.0,85.0,255,3,95,85,85
yd_269405213,2,16.7%,"DAY1, DAY5",524.0,90.0,180,2,96,85,95
JaneConan,2,16.7%,"DAY1, DAY2",1000.0,88.5,177,2,97,85,92
JadeJia,2,16.7%,"DAY1, DAY2",654.0,85.0,170,2,98,85,85
fire19k,2,16.7%,"DAY1, DAY2",948.0,85.0,170,2,99,85,85
磊哥哥,2,16.7%,"DAY8, DAY12",1000.0,85.0,170,2,100,85,85
hid_895ukgsjqymrn62,2,16.7%,"DAY1, DAY4",208.0,80.0,160,2,101,75,85
64521777,2,16.7%,"DAY1, DAY2",176.0,80.0,160,2,102,75,85
Anqu,1,8.3%,DAY1,693.0,92.0,92,1,103,92,92
hid_o28rwoi_1pzgewk,1,8.3%,DAY1,385.0,92.0,92,1,104,92,92
qhywayou,1,8.3%,DAY11,327.0,90.0,90,1,105,90,90
Yeats_Liao,1,8.3%,DAY1,173.0,85.0,85,1,106,85,85
hid_n3mz_i2502-zt96,1,8.3%,DAY1,238.0,85.0,85,1,107,85,85
DragonBaiMo,1,8.3%,DAY1,409.0,85.0,85,1,108,85,85
布鲁斯南,1,8.3%,DAY1,223.0,85.0,85,1,109,85,85
wangzixu,1,8.3%,DAY1,389.0,85.0,85,1,110,85,85
yd_281068146,1,8.3%,DAY1,126.0,75.0,75,1,111,75,75
nan,1,8.3%,DAY1,56.0,75.0,75,1,112,75,75
